date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:14	1062/1062	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/hero/hero-clock-81573480d502524a5df31e3099469ba8462423d558df21c709cd5060e4aa3fec.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/hero/hero-clock-81573480d502524a5df31e3099469ba8462423d558df21c709cd5060e4aa3fec.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:15	210/210	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/hero/hero-diamond-d26c8799abbd82d1dd99615991f357307d12c7b493ec8fdbc63290b19f315843.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/hero/hero-diamond-d26c8799abbd82d1dd99615991f357307d12c7b493ec8fdbc63290b19f315843.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:15	791/791	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/hero/hero-dots-6083cc1bc0003f920e18b765bf8d46fc3cb2088340aab853a23bf0fd4a1f8597.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/hero/hero-dots-6083cc1bc0003f920e18b765bf8d46fc3cb2088340aab853a23bf0fd4a1f8597.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:15	706/706	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/hero/hero-oval-3cd35fb7734b890588788570de32b7e9902c7d39c98a61a23b5451c2dd720ce0.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/hero/hero-oval-3cd35fb7734b890588788570de32b7e9902c7d39c98a61a23b5451c2dd720ce0.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:15	825/825	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/wtm__background-bottom-a4b4b3d695415cd228d593d9d2ad891545c72b74e7d07c48783803b1c320bea5.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/wtm__background-bottom-a4b4b3d695415cd228d593d9d2ad891545c72b74e7d07c48783803b1c320bea5.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:15	390/390	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/wtm__background-top-2d3ae05095e8672d8605f41c2d8034cad4e57d0323a1de847cf48af794b58f7f.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/wtm__background-top-2d3ae05095e8672d8605f41c2d8034cad4e57d0323a1de847cf48af794b58f7f.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:16	723/723	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/clock/prizes__background-fd3e8ce8d197bd9e57c6d0c1c9cc1eb649b87c67fff906616f428c9bd2992626.svg	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/clock/prizes__background-fd3e8ce8d197bd9e57c6d0c1c9cc1eb649b87c67fff906616f428c9bd2992626.svg	(from https://flutter.dev/assets/main-d4caf434e39af4e6f00278148419771910a18160f860f87288b5242c317d5bc7.css)
16:57:16	39/39	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2020%20Aug%202020%2015:57:17%20GMT	https://flutter.dev/docs/get-started/editor.html	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/docs/get-started/editor-2.html	(from https://flutter.dev/docs/get-started/editor)
16:57:17	24962/24962	---M-Z	200	added ('OK')	image/png	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/tools/android-studio/main-toolbar-8f8e4ce1c7a5ec70c4a288837aa3ea083fe03deef28d99567a391ef005a59c3f.png	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/tools/android-studio/main-toolbar-8f8e4ce1c7a5ec70c4a288837aa3ea083fe03deef28d99567a391ef005a59c3f.png	(from https://flutter.dev/docs/get-started/test-drive)
16:57:17	12616/12616	---M-Z	200	added ('OK')	image/png	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/get-started/ios/starter-app-5e284e57b8dce587ea1dfdac7da616e6ec9dc263a409a9a8f99cf836340f47b8.png	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/get-started/ios/starter-app-5e284e57b8dce587ea1dfdac7da616e6ec9dc263a409a9a8f99cf836340f47b8.png	(from https://flutter.dev/docs/get-started/test-drive)
16:57:17	4885/4885	---M-Z	200	added ('OK')	image/png	date:Wed,%2019%20Aug%202020%2018:51:03%20GMT	https://flutter.dev/assets/tools/vs-code/device_status_bar-10813b4c173018ee947124d4f222cb30b54133d4574a48138cb9ba8ef7030710.png	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/flutter.dev/assets/tools/vs-code/device_status_bar-10813b4c173018ee947124d4f222cb30b54133d4574a48138cb9ba8ef7030710.png	(from https://flutter.dev/docs/get-started/test-drive)
16:57:18	872/872	---MCZ	200	added ('OK')	text/css	etag:W/%225afd494d-368%22	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/github.min.css	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/github.min.css	(from https://flutter.dev/docs/get-started/codelab)
16:57:18	5006/5006	---MCZ	200	added ('OK')	text/css	etag:W/%225b2552ce-138e%22	https://cdnjs.cloudflare.com/ajax/libs/diff2html/2.4.0/diff2html.min.css	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/cdnjs.cloudflare.com/ajax/libs/diff2html/2.4.0/diff2html.min.css	(from https://flutter.dev/docs/get-started/codelab)
16:57:19	125123/125123	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b2552ce-1e8c3%22	https://cdnjs.cloudflare.com/ajax/libs/diff2html/2.4.0/diff2html.min.js	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/cdnjs.cloudflare.com/ajax/libs/diff2html/2.4.0/diff2html.min.js	(from https://flutter.dev/docs/get-started/codelab)
16:57:19	6759/6759	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b2553d3-1a67%22	https://cdnjs.cloudflare.com/ajax/libs/diff2html/2.4.0/diff2html-ui.min.js	C:/Users/Wawingi%20Sebastiao/Downloads/FLUTTER/cdnjs.cloudflare.com/ajax/libs/diff2html/2.4.0/diff2html-ui.min.js	(from https://flutter.dev/docs/get-started/codelab)
